"TIME","Vramp","Vo_3"
1.197329064,1.59199,0.0773513
1.201329064,1.60399,0.0764991
1.205329064,1.61599,0.0756828
1.209329064,1.62799,0.0748999
1.213329064,1.63999,0.0741482
1.217329064,1.65199,0.0734257
1.221329064,1.66399,0.0727307
1.225329064,1.67599,0.0720614
1.229329064,1.68799,0.0714163
1.233329064,1.69999,0.070794
1.235329064,1.70599,0.0704936
1.237329064,1.71199,0.0701932
1.241329064,1.72399,0.0696128
1.245329064,1.73599,0.0690517
1.249329064,1.74799,0.0685087
1.253329064,1.75999,0.0679831
1.257329064,1.77199,0.0674738
1.261329064,1.78399,0.0669802
1.265329064,1.79599,0.0665014
1.269329064,1.80799,0.0660367
1.275329064,1.82599,0.0653648
1.279329064,1.83799,0.0649357
1.281329064,1.84399,0.0647211
1.287329064,1.86199,0.0641039
1.293329064,1.87999,0.0635114
1.299329064,1.89799,0.062942
1.301329064,1.90399,0.0627595
1.305329064,1.91599,0.0623945
1.311329064,1.93399,0.0618674
1.317329064,1.95199,0.0613596
1.323329064,1.96999,0.0608701
1.329329064,1.98799,0.0603977
1.335329064,2.00599,0.0599415
1.341329064,2.02399,0.0595008
1.345329064,2.03599,0.0592167
1.347329064,2.04199,0.0590747
1.353329064,2.05999,0.0586624
1.359329064,2.07799,0.0582633
1.365329064,2.09599,0.0578767
1.367329064,2.10199,0.0577524
1.373329064,2.11999,0.0573797
1.381329064,2.14399,0.0569026
1.389329064,2.16799,0.0564441
1.397329064,2.19199,0.0560032
1.405329064,2.21599,0.0555789
1.411329064,2.23399,0.0552723
1.413329064,2.23999,0.0551702
1.421329064,2.26399,0.0547762
1.429329064,2.28799,0.0543962
1.433329064,2.29999,0.0542128
1.437329064,2.31199,0.0540294
1.445329064,2.33599,0.0536751
1.453329064,2.35999,0.0533327
1.455329064,2.36599,0.0532499
1.461329064,2.38399,0.0530016
1.471329064,2.41399,0.0526028
1.477329064,2.43199,0.0523729
1.481329064,2.44399,0.0522197
1.491329064,2.47399,0.0518515
1.499329064,2.49799,0.0515681
1.501329064,2.50399,0.0514973
1.511329064,2.53399,0.0511563
1.521329064,2.56399,0.0508279
1.531329064,2.59399,0.0505112
1.541329064,2.62399,0.0502058
1.543329064,2.62999,0.0501468
1.551329064,2.65399,0.0499109
1.563329064,2.68999,0.0495704
1.565329064,2.69599,0.0495159
1.575329064,2.72599,0.0492436
1.587329064,2.76199,0.0489296
1.599329064,2.79799,0.0486278
1.609329064,2.82799,0.0483858
1.611329064,2.83399,0.0483374
1.623329064,2.86999,0.0480579
1.631329064,2.89399,0.0478784
1.635329064,2.90599,0.0477886
1.649329064,2.94799,0.0474868
1.653329064,2.95999,0.0474041
1.663329064,2.98999,0.0471973
1.675329064,3.02599,0.0469593
1.677329064,3.03199,0.0469196
1.691329064,3.07399,0.046653
1.697329064,3.09199,0.0465432
1.705329064,3.11599,0.0463968
1.719329064,3.15799,0.0461504
1.735329064,3.20599,0.0458802
1.741329064,3.22399,0.0457832
1.751329064,3.25399,0.0456215
1.763329064,3.28999,0.0454355
1.767329064,3.30199,0.0453736
1.783329064,3.34999,0.0451358
1.785329064,3.35599,0.0451072
1.799329064,3.39799,0.0449075
1.807329064,3.42199,0.0447982
1.817329064,3.45199,0.0446616
1.829329064,3.48799,0.0445048
1.835329064,3.50599,0.0444264
1.851329064,3.55399,0.0442264
1.853329064,3.55999,0.0442013
1.871329064,3.61399,0.0439858
1.873329064,3.61999,0.0439629
1.891329064,3.67399,0.0437568
1.895329064,3.68599,0.0437131
1.911329064,3.73399,0.0435382
1.917329064,3.75199,0.0434756
1.931329064,3.79399,0.0433294
1.939329064,3.81799,0.0432496
1.951329064,3.85399,0.0431298
1.961329064,3.88399,0.0430345
1.973329064,3.91999,0.0429202
1.983329064,3.94999,0.0428293
1.995329064,3.98599,0.0427204
2,4,0.0426792
